Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,disease_stage,ETHNICITY,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_type,sex,SRA Study,TISSUE
SRR8615223,NA,RNA-Seq,GCA_000001405.13,202,17348945134,NA,PRJNA523380,SAMN10989616,Human,9345709222,OCIMY5,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414530,Illumina HiSeq 2500,cell line,RNASeq-OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:00:00Z,1,OCIMY5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,NA,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615224,NA,RNA-Seq,GCA_000001405.13,202,17142079964,NA,PRJNA523380,SAMN10989617,Human,9255135797,OCI-MY7,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NA,NA,NA,SRX5414529,Illumina HiSeq 2500,cell line,RNASeq-OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:52:00Z,1,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,NA,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615225,38,RNA-Seq,GCA_000001405.13,202,16879950018,NIBRI,PRJNA523380,SAMN10987922,Human,8469592715,OCUM-1,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (diffuse_adenocarcinoma),primary,Asian,SRX5414528,Illumina HiSeq 2500,cell line,RNASeq-OCUM1_STOMACH,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:53:00Z,1,OCUM1_STOMACH,cell culture,female,SRP186687,stomach
SRR8615226,72,RNA-Seq,GCA_000001405.13,202,18687851634,HPACC,PRJNA523380,SAMN10988362,Human,9880139166,OE19,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5414527,Illumina HiSeq 2500,cell line,RNASeq-OE19_OESOPHAGUS,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:00:00Z,1,OE19_OESOPHAGUS,cell culture,male,SRP186687,oesophagus
SRR8615229,NA,RNA-Seq,GCA_000001405.13,202,17238188938,NA,PRJNA523380,SAMN10988391,Human,9208697171,OELE,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",other (immortalized_epithelial),NA,Caucasian,SRX5414524,Illumina HiSeq 2500,cell line,RNASeq-OELE_OVARY,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:53:00Z,1,OELE_OVARY,cell culture,NA,SRP186687,ovary
SRR8615231,56,RNA-Seq,GCA_000001405.13,202,12270092868,ATCC:MES-SA,PRJNA523380,SAMN10987906,Human,5874936339,MES-SA,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",sarcoma,primary,Caucasian,SRX5414522,Illumina HiSeq 2500,cell line,RNASeq-MESSA_SOFT_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:44:00Z,1,MESSA_SOFT_TISSUE,cell culture,female,SRP186687,soft_tissue
SRR8615232,58,RNA-Seq,GCA_000001405.13,202,14880243948,DSMZ:MEL-JUSO,PRJNA523380,SAMN10988249,Human,7050390110,MEL-JUSO,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",malignant_melanoma,primary,Caucasian,SRX5414521,Illumina HiSeq 2500,cell line,RNASeq-MELJUSO_SKIN,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:50:00Z,1,MELJUSO_SKIN,cell culture,female,SRP186687,skin
SRR8615234,55,RNA-Seq,GCA_000001405.13,202,15870447544,NIBRI,PRJNA523380,SAMN10988184,Human,7922717507,MEG-01,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia),primary,Asian,SRX5414519,Illumina HiSeq 2500,cell line,RNASeq-MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:53:00Z,1,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,cell culture,male,SRP186687,haematopoietic_and_lymphoid_tissue
SRR8615236,68,RNA-Seq,GCA_000001405.13,202,20984597694,NA,PRJNA523380,SAMN10987797,Human,10420460406,MFE-296,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5414517,Illumina HiSeq 2500,cell line,RNASeq-MFE296_ENDOMETRIUM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T23:05:00Z,1,MFE296_ENDOMETRIUM,cell culture,female,SRP186687,endometrium
SRR8615237,77,RNA-Seq,GCA_000001405.13,202,15046230176,NIBRI,PRJNA523380,SAMN10987795,Human,7097671191,MFE-280,BROAD INSTITUTE,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",carcinoma (adenocarcinoma),primary,Caucasian,SRX5414516,Illumina HiSeq 2500,cell line,RNASeq-MFE280_ENDOMETRIUM,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-03-27T00:00:00Z,2019-02-23T22:53:00Z,1,MFE280_ENDOMETRIUM,cell culture,female,SRP186687,endometrium
