Run,Cell_line,Cellosaurus_ID
SRR8615223,OCIMY5,CVCL_E332
SRR8615224,OCI-MY7,CVCL_E333
SRR8615225,OCUM-1,CVCL_3084
SRR8615226,OE19,CVCL_1622
SRR8615229,OELE,CVCL_IW56
SRR8615231,MES-SA,CVCL_1404
SRR8615232,MEL-JUSO,CVCL_1403
SRR8615234,MEG-01,CVCL_0425
SRR8615236,MFE-296,CVCL_1406
SRR8615237,MFE-280,CVCL_1405
SRR8615239,MHH-CALL-2,CVCL_1409
SRR8615241,Panc 02.13,CVCL_1634
SRR8615244,NUGC-4,CVCL_3082
SRR8615245,SW 1271,CVCL_1716
SRR8615248,CCF-STTG1,CVCL_1118
SRR8615250,CFPAC-1,CVCL_1119
SRR8615251,CCK-81,CVCL_2873
SRR8615252,NCI-H2073,CVCL_1521
SRR8615254,NCI-H2052,CVCL_1518
SRR8615255,NCI-H2030,CVCL_1517
SRR8615258,NCI-H2009,CVCL_1514
SRR8615259,NCI-H2004 RT,CVCL_WS70
SRR8615261,NCI-H196,CVCL_1509
SRR8615262,OCI-M1,CVCL_2149
SRR8615263,OCI-LY3,CVCL_8800
SRR8615265,CAL-33,CVCL_1108
SRR8615273,CADO-ES1,CVCL_1103
SRR8615274,EC-GI-10,CVCL_1187
SRR8615277,HEC-108,CVCL_2923
SRR8615279,HD-MY-Z,CVCL_1273
SRR8615280,HDLM-2,CVCL_0009
SRR8615283,HCC-95,CVCL_5137
SRR8615285,EJM,CVCL_2030
SRR8615289,EFM-19,CVCL_0253
SRR8615291,EFE-184,CVCL_1191
SRR8615294,EN,CVCL_2034
SRR8615295,PK-45H,CVCL_6748
SRR8615298,PE/CA-PJ41 (clone D2),CVCL_2680
SRR8615299,PE/CA-PJ34 (clone C12),CVCL_2679
SRR8615300,DU 145,CVCL_0105
SRR8615301,PC9,CVCL_B260
SRR8615302,Pfeiffer,CVCL_3326
SRR8615303,PF-382,CVCL_1641
SRR8615304,PEER,CVCL_1913
SRR8615305,PE/CA-PJ49,CVCL_2681
SRR8615308,SNU-245,CVCL_5038
SRR8615311,SNU-387,CVCL_0250
SRR8615312,SNU-349,CVCL_5054
SRR8615315,CAL-54,CVCL_1111
SRR8615316,SNU-410,CVCL_5059
SRR8615317,SNU-407,CVCL_5058
SRR8615320,Hs 766T,CVCL_0334
SRR8615321,Hs 742.T,CVCL_0888
SRR8615324,Hs 834.T,CVCL_0938
SRR8615325,Hs 819.T,CVCL_0928
SRR8615328,Hs 840.T,CVCL_0942
SRR8615329,NCI-H1105,CVCL_1455
SRR8615331,NCI-H1092,CVCL_1454
SRR8615332,UOK101,CVCL_B076
SRR8615336,U-BLC1,CVCL_2738
SRR8615338,UACC-812,CVCL_1781
SRR8615339,UACC-62,CVCL_1780
SRR8615342,NCC-StC-K140,CVCL_3055
SRR8615343,NB-4,CVCL_0005
SRR8615346,NALM-6,CVCL_0092
SRR8615347,KMS-26,CVCL_2992
SRR8615348,KMS-27,CVCL_2993
SRR8615351,KMS-12-BM,CVCL_1334
SRR8615352,KMS-18,CVCL_A637
SRR8615355,KMRC-20,CVCL_2986
SRR8615356,KMRC-2,CVCL_2984
SRR8615364,KD [Human abdomen rhabdoid tumor],CVCL_U757
SRR8615365,KCL-22,CVCL_2091
SRR8615370,Panc 05.04,CVCL_1637
SRR8615372,SR-786,CVCL_1711
SRR8615375,SU.86.86,CVCL_3881
SRR8615377,Panc 10.05,CVCL_1639
SRR8615378,SU-DHL-4,CVCL_0539
SRR8615379,GSS,CVCL_8876
SRR8615388,H4,CVCL_1239
SRR8615389,GSU,CVCL_8877
SRR8615392,LS513,CVCL_1386
SRR8615393,LS411N,CVCL_1385
SRR8615395,LU65,CVCL_1392
SRR8615399,LS123,CVCL_1383
SRR8615401,LXF-289,CVCL_1394
SRR8615402,LUDLU-1,CVCL_2582
SRR8615405,ACHN,CVCL_1067
SRR8615406,ACC-MESO-1,CVCL_5113
SRR8615408,AMO-1,CVCL_1806
SRR8615411,ALL-SIL,CVCL_1805
SRR8615412,AsPC-1,CVCL_0152
SRR8615414,Hs 294T,CVCL_0331
SRR8615416,Hs 274.T,CVCL_0711
SRR8615417,Hs 255.T,CVCL_0707
SRR8615420,Hs 578T,CVCL_0332
SRR8615421,Hs 343.T,CVCL_0726
SRR8615422,COR-L24,CVCL_2409
SRR8615424,Hs 616.T,CVCL_0825
SRR8615425,COR-L23,CVCL_1139
SRR8615427,COR-L95,CVCL_2418
SRR8615431,RT4,CVCL_0036
SRR8615432,RT-112,CVCL_1670
SRR8615435,RPMI-8402,CVCL_1667
SRR8615436,Panc 03.27,CVCL_1635
SRR8615438,RMUG-S,CVCL_3158
SRR8615440,NU-DHL-1,CVCL_1876
SRR8615441,NU-DUL-1,CVCL_1877
SRR8615443,NOMO-1,CVCL_1609
SRR8615445,NIH:OVCAR-3,CVCL_0465
SRR8615446,NCO2,CVCL_3043
SRR8615449,NUGC-2,CVCL_1611
SRR8615450,NUGC-3,CVCL_1612
SRR8615452,HCC70,CVCL_1270
SRR8615455,HCC4006,CVCL_1269
SRR8615457,HCC-366,CVCL_2059
SRR8615459,SW620,CVCL_0547
SRR8615460,HCC-78,CVCL_2061
SRR8615462,NCI-H747,CVCL_1587
SRR8615466,SNU-C5,CVCL_5112
SRR8615468,TE 617.T,CVCL_1755
SRR8615469,TE-5,CVCL_1764
SRR8615473,SNU-840,CVCL_5100
SRR8615474,SNU-869,CVCL_5101
SRR8615475,SNU-C1,CVCL_1708
SRR8615478,SNU-8,CVCL_5096
SRR8615479,L-1236,CVCL_2096
SRR8615482,KYSE-70,CVCL_1356
SRR8615483,JHH-1,CVCL_2785
SRR8615486,L-428,CVCL_1361
