from	to
Q9Y651	SOX21
P37108	SRP14
Q96JP5	ZFP91
Q9Y4H2	IRS2
P36578	RPL4
Q6SPF0	SAMD1
O76031	CLPX
Q8WUQ7	CACTIN
A6NIH7	UNC119B
Q9BTD8	RBM42
Q9P258	RCC2
P17542	TAL1
Q8TCS8	PNPT1
Q68DK7	MSL1
Q96L91	EP400
P52701	MSH6
P55036	PSMD4
A1X283	SH3PXD2B
P05154	SERPINA5
Q9BQE4	SELENOS
Q8WWH5	TRUB1
Q96MA1	DMRTB1
Q96D53	COQ8B
P59768	GNG2
Q6P2E9	EDC4
Q9UNF1	MAGED2
Q9NZQ3	NCKIPSD
Q9NQP4	PFDN4
O15357	INPPL1
P30260	CDC27
O15042	U2SURP
Q01780	EXOSC10
O15405	TOX3
P02786	TFRC
P07954	FH
Q9Y490	TLN1
O94826	TOMM70
Q96L58	B3GALT6
Q8N4T8	CBR4
P35221	CTNNA1
Q96C19	EFHD2
Q9BUP0	EFHD1
Q9H3U1	UNC45A
Q9GZT9	EGLN1
Q8WVQ1	CANT1
Q15149	PLEC
Q96T51	RUFY1
Q5VSL9	STRIP1
O14497	ARID1A
Q8NFD5	ARID1B
P58107	EPPK1
Q9BR61	ACBD6
Q96NB2	SFXN2
Q15063	POSTN
Q8TAE8	GADD45GIP1
Q8IYS1	PM20D2
O15269	SPTLC1
Q14008	CKAP5
Q8N0Z6	TTC5
P31948	STIP1
Q13423	NNT
Q96GI7	FAM89A
P98172	EFNB1
O60716	CTNND1
Q9NV92	NDFIP2
Q14498	RBM39
Q15042	RAB3GAP1
Q9NX63	CHCHD3
Q9H477	RBKS
P26641	EEF1G
P20810	CAST
Q96D96	HVCN1
P31350	RRM2
Q16643	DBN1
P53618	COPB1
Q9NVA2	SEPTIN11
O14981	BTAF1
Q99569	PKP4
O95801	TTC4
Q6XQN6	NAPRT
Q01831	XPC
Q7Z5L9	IRF2BP2
Q9P1Y5	CAMSAP3
Q9UNS1	TIMELESS
P08559	PDHA1
Q99733	NAP1L4
P14555	PLA2G2A
Q8N1S5	SLC39A11
Q9NVC6	MED17
Q03252	LMNB2
P49006	MARCKSL1
Q7KZF4	SND1
P09327	VIL1
Q12955	ANK3
Q5SQI0	ATAT1
P18206	VCL
P42858	HTT
P19404	NDUFV2
O43837	IDH3B
O00468	AGRN
P13995	MTHFD2
P17858	PFKL
Q9H7E9	C8orf33
Q7Z7L1	SLFN11
O95336	PGLS
P55060	CSE1L
Q9BUH6	PAXX
Q8TDX7	NEK7
P13796	LCP1
Q01813	PFKP
Q99575	POP1
Q53H12	AGK
Q8NCN4	RNF169
P06753	TPM3
Q14980	NUMA1
Q9UNF0	PACSIN2
Q9UBQ7	GRHPR
P43304	GPD2
Q53G44	IFI44L
P02766	TTR
Q6P1J9	CDC73
P51452	DUSP3
Q86TC9	MYPN
Q9Y277	VDAC3
O95785	WIZ
Q7Z3D6	DGLUCY
P53814	SMTN
P15923	TCF3
O43395	PRPF3
Q86VP6	CAND1
Q96ST3	SIN3A
Q12888	TP53BP1
Q8NBX0	SCCPDH
Q13573	SNW1
Q8TDL5	BPIFB1
Q96FQ6	S100A16
Q9H0R6	QRSL1
Q8NCM8	DYNC2H1
O60701	UGDH
P78362	SRPK2
O95782	AP2A1
Q15293	RCN1
O15382	BCAT2
P30038	ALDH4A1
Q8IVT2	MISP
P67809	YBX1
Q7Z6I8	C5orf24
O43823	AKAP8
Q6PK04	CCDC137
P35251	RFC1
Q1ED39	KNOP1
P12270	TPR
Q08357	SLC20A2
P16383	GCFC2
P27482	CALML3
P98196	ATP11A
P31327	CPS1
Q9NU22	MDN1
P05164	MPO
P80723	BASP1
O75569	PRKRA
P35240	NF2
Q12929	EPS8
P46821	MAP1B
P55263	ADK
Q14554	PDIA5
Q08211	DHX9
Q92817	EVPL
P06454	PTMA
Q9Y2A7	NCKAP1
Q9NW82	WDR70
Q01995	TAGLN
Q7Z460	CLASP1
Q9H9Z2	LIN28A
P20962	PTMS
Q13356	PPIL2
P11586	MTHFD1
P29966	MARCKS
Q1KMD3	HNRNPUL2
Q13751	LAMB3
Q9UHB6	LIMA1
O95425	SVIL
Q8WUB8	PHF10
Q52LJ0	FAM98B
Q9P278	FNIP2
Q9NW13	RBM28
Q9P260	RELCH
O43272	PRODH
